wdid,icrsra,icrsdec,spectype,teff,logg,mass,age,Dage,Dpc,velU,velV,velW
* alf CMi B,07 39 17.88,05 13 26.76,DQZ,7585.0,7.964,0.5541,1.22,,3.5142,0.6,-12.0,-18.4
1FGL J1338.9+1153,13 38 59.06,11 53 16.73,DC,6300.0,10.0,,,,,,,
2MASS J00022257+6357443,00 02 24.88,63 57 45.88,DC,4879.0,7.939,0.542,6.55,,26.28,,,
2MASS J00025063-0450417,00 02 50.66,-04 50 41.65,DB+dM4,6300.0,10.0,,,,1919.61,,,
2MASS J00173691+1451019,00 17 36.90,14 51 01.88,DC,6300.0,8.98,,,,13185.10,,,
2MASS J00274169-0300586,00 27 41.67,-03 00 58.57,DBA,18570.0,8.293,0.777,2.017,,97.04,,,
2MASS J00274999-0010234,00 27 50.09,-00 10 23.82,DB+M3,6300.0,8.84,,,,236.18,,,
2MASS J00364522+0634531,00 36 45.32,06 34 53.30,DC+M,,,,,,173.04,,,
2MASS J01213782+3440431,01 21 37.61,34 40 43.09,DZ,7326.0,8.293,0.763,1.97,,38.79,,,
2MASS J01414366-0938118,01 41 43.71,-09 38 11.66,DC+M,,,,,,327.79,,,
2MASS J01503855-7207164,01 50 37.67,-72 07 20.27,DC,6838.0,8.132,0.656,,,31.72,,,
2MASS J02145697+7746000,02 14 58.37,77 45 53.82,DC,4798.0,8.175,0.691,8.95,,39.68,,,
2MASS J02451962-0256280,02 45 19.63,-02 56 28.17,DC,9557.0,9.0,,,,10348.97,,,
2MASS J03003728+6228285,03 00 37.34,62 28 28.60,DC5,9364.0,7.329,0.277,,,115.91,,,
2MASS J03030835+0054438,03 03 08.35,00 54 42.84,DC+M,6300.0,8.99,,,,120.51,,,
2MASS J03092486+0025256,03 09 24.87,00 25 23.88,DC-IRfaint,5561.0,8.166,0.675,5.23,,42.56,,,
2MASS J03105758+6634022,03 10 59.44,66 33 55.67,DC,4681.0,7.817,0.472,5.9,,38.40,,,
2MASS J04000453-0628340,04 00 04.58,-06 28 34.34,DC+M,,,,,,342.70,,,
2MASS J04010150+5131304,04 01 02.14,51 31 17.24,DC,5064.0,8.233,0.73,8.36,,25.10,,,
2MASS J04221133-4741421,04 22 11.26,-47 41 41.89,DB,25970.0,7.79,0.512,,,91.62,,,
2MASS J04255699+4614177,04 25 57.13,46 14 18.19,DC,4479.0,8.25,0.74,10.21,,37.55,,,
2MASS J04510683-0337234,04 51 06.83,-03 37 23.60,DBA,,,,,,2417.79,,,
2MASS J05265609+4435395,05 26 56.49,44 35 32.80,DC,4680.0,7.853,0.492,6.08,,38.89,,,
2MASS J06214164-4016187,06 21 41.77,-40 16 24.55,DZ,6151.0,8.184,0.688,2.39,,23.68,-13.9,-25.0,-7.2
2MASS J06392837+3605410,06 39 26.42,36 06 25.07,DBA,,,,,,837.17,,,
2MASS J07062860+3836502,07 06 28.57,38 36 50.33,DB+M,16481.0,8.36,,,,676.11,,,
2MASS J07085228-6706314,07 08 51.67,-67 06 32.93,DCP,4862.0,7.86,0.497,5.47,0.34,16.96,4.7,4.9,-19.9
2MASS J07394262+1714388,07 39 42.58,17 14 38.34,DC+M,,,,,,235.78,,,
2MASS J07442543+3530408,07 44 25.41,35 30 41.09,DC+M,6300.0,8.99,,,,129.49,,,
2MASS J08060999+2141524,08 06 10.00,21 41 52.21,DC+M,19500.0,7.0,,,,188.72,,,
2MASS J08061173+3344271,08 06 11.67,33 44 25.46,DB,15538.0,8.09,0.641,0.2081,,100.19,,,
2MASS J08063688+2519120,08 06 36.86,25 19 11.93,DB+M,17439.0,8.18,,,,878.53,,,
2MASS J08221922+2023264,08 22 19.26,20 23 24.42,DC,7038.0,7.546,0.344,0.94,,43.36,,,
2MASS J08490170+4439355,08 49 01.35,44 39 33.78,DC,5907.0,8.155,0.669,4.05,,46.86,,,
2MASS J08533603+0720334,08 53 36.06,07 20 33.04,DC+M,,,,,,267.43,,,
2MASS J08541811+4704019,08 54 18.00,47 04 02.81,DZ+dM,6300.0,8.88,,,,,,,
2MASS J08593742+1252038,08 59 37.41,12 52 03.62,DB+K,,,,,,525.28,,,
2MASS J09060301+2759247,09 06 02.91,27 59 24.72,DC+M,,,,,,131.70,,,
2MASS J09411519+0901549,09 41 15.19,09 01 53.05,DQ,8634.0,7.354,0.28,0.45,,89.53,,,
2MASS J10025551+4243210,10 02 55.47,42 43 21.03,DC+M,,,,,,174.56,,,
2MASS J10053384+2501497,10 05 33.83,25 01 49.40,DC+M,,,,,,468.16,,,
2MASS J10141769+3236482,10 14 17.71,32 36 47.82,DB+M,16051.0,8.42,,,,290.58,,,
2MASS J10180002+0838206,10 17 59.81,08 38 18.67,DQ,7539.0,7.917,0.527,1.21,,43.71,,,
2MASS J10315247+3628332,10 31 52.42,36 28 32.50,DC+M,,,,,,140.79,,,
2MASS J10325845+0121597,10 32 58.46,01 21 59.36,DB+K,6300.0,9.0,,,,270.70,,,
2MASS J10534626+2916526,10 53 46.30,29 16 52.42,DB+M,16051.0,9.0,,,,367.06,,,
2MASS J11052070+2824091,11 05 20.46,28 24 07.64,DC+M,,,,,,105.43,,,
2MASS J11095528+0517207,11 09 55.28,05 17 20.74,DC+M,6300.0,8.94,,,,543.01,,,
2MASS J11182722-4721570,11 18 26.68,-47 21 56.41,DC,5910.0,8.077,0.619,3.19,0.57,17.04,24.3,-9.2,-7.0
2MASS J11195070+1853511,11 19 50.69,18 53 51.24,DC+M,,,,,,550.55,,,
2MASS J11345774+6554078,11 34 57.81,65 54 08.01,DC+M,6300.0,8.99,,,,178.67,,,
2MASS J11452362+2515112,11 45 23.55,25 15 10.81,DB+M,18394.0,8.21,,,,419.34,,,
2MASS J11595023+4001440,11 59 50.23,40 01 43.88,DB+M,16481.0,8.36,,,,584.69,,,
2MASS J12103377-0046446,12 10 33.75,-00 46 44.50,DC+M,6300.0,8.93,,,,496.39,,,
2MASS J12162587+4328331,12 16 25.83,43 28 32.90,DB+M,16601.0,8.17,,,,1207.0,,,
2MASS J12334759+1253454,12 33 47.61,12 53 46.72,DQ,6698.0,7.97,0.556,1.74,,50.37,,,
2MASS J13073350+2156370,13 07 33.50,21 56 36.38,DC+M,,,,,,105.45,,,
2MASS J13131314+0226457,13 13 12.34,02 26 44.03,DC,4278.0,7.885,0.509,7.38,,30.88,,,
2MASS J13163204-0037580,13 16 32.07,-00 37 58.61,DC+M,,,,,,184.38,,,
2MASS J13231264-0254559,13 23 12.60,-02 54 56.37,DC+M,6300.0,8.98,,,,194.48,,,
2MASS J13392849+2248447,13 39 28.49,22 48 44.86,DB+M,16481.0,8.36,,,,228.82,,,
2MASS J13411316+0100266,13 41 13.14,01 00 27.83,DC:,3901.0,8.817,1.103,8.554,,383.27,,,
2MASS J13453297+4200437,13 45 32.69,42 00 45.71,DC,4648.0,7.313,0.315,3.21,,37.47,,,
2MASS J14391426+4130451,14 39 14.27,41 30 44.24,DB+M,15954.0,9.0,,,,463.49,,,
2MASS J14394779+5741154,14 39 47.78,57 41 15.26,DB+M,,,,,,1202.28,,,
2MASS J14425846+0010317,14 42 58.45,00 10 31.54,DB+M,31324.0,7.8,,,,357.64,,,
2MASS J15202230+3239366,15 20 22.28,32 39 37.17,DB+M,16051.0,9.0,,,,274.17,,,
2MASS J15205429+6100469,15 20 54.20,61 00 47.05,DC+M,6300.0,8.96,,,,387.69,,,
2MASS J15234129+4305288,15 23 41.21,43 05 28.94,DC+M,,,,,,260.24,,,
2MASS J15353144+1441133,15 35 31.40,14 41 13.04,DB+M,17622.0,8.22,,,,252.39,,,
2MASS J15423456+3547574,15 42 34.60,35 47 56.77,DC+M,,,,,,169.48,,,
2MASS J15545024+3254137,15 54 50.41,32 54 11.61,DB,10603.0,8.036,0.624,0.543,,74.89,,,
2MASS J15553999+2715539,15 55 40.02,27 15 53.62,DC+M,,,,,,344.76,,,
2MASS J15571479+3959205,15 57 14.73,39 59 20.28,DC+M,11943.0,8.83,,,,214.28,,,
2MASS J16090010+2259340,16 09 00.04,22 59 34.30,DB+M,15072.0,9.0,,,,256.99,,,
2MASS J16142672+2233538,16 14 26.63,22 33 52.55,DC+M,,,,,,117.65,,,
2MASS J16232950+3554272,16 23 29.50,35 54 27.27,DB+M,15730.0,9.0,,,,430.53,,,
2MASS J16270027+1613172,16 27 00.31,16 13 17.12,DC+M,,,,,,314.26,,,
2MASS J17331764+1529116,17 33 17.63,15 29 11.71,DC10,,,,,,5512.68,,,
2MASS J17432300+1434519,17 43 22.70,14 34 56.93,DC,10224.0,7.947,0.55,0.57,,34.33,,,
2MASS J17470830+2859098,17 47 08.15,28 59 07.26,DC,4832.0,7.745,0.449,3.32,,36.58,,,
2MASS J18195921+1739190,18 19 59.48,17 39 20.49,DC,4835.0,7.974,0.563,6.96,,34.20,,,
2MASS J19200281-3611025,19 20 02.97,-36 11 04.75,DB,21963.0,8.138,0.682,0.05,0.18,37.13,,,
2MASS J19400895+8348579,19 40 00.36,83 48 51.28,DC,4805.0,8.31,0.781,9.68,,35.73,,,
2MASS J21120843+0912019,21 12 08.43,09 12 01.87,DZA+M,6313.0,6.68,,,,2132.53,,,
2MASS J21220558-3838347,21 22 05.82,-38 38 35.71,DC,5060.0,7.809,0.481,4.01,0.61,23.39,9.3,-6.3,-11.6
2MASS J21420390+2252290,21 42 04.02,22 52 27.26,DZ,8839.0,7.87,0.504,0.76,,46.42,,,
2MASS J21550637+4103067,21 55 06.59,41 03 07.94,DZ,6525.0,8.313,0.775,3.62,,59.16,,,
2MASS J22103453+4532401,22 10 34.33,45 32 34.32,DC,5290.0,7.854,0.484,3.518,0.267,35.90,,,
2MASS J22134363+0722213,22 13 43.64,07 22 21.13,DB+M,,,,,,314.56,,,
2MASS J22160330+1246021,22 16 03.26,12 45 59.76,DC+M,6053.0,7.152,0.209,,,109.20,,,
2MASS J22280206+1207334,22 28 02.02,12 07 32.64,DZ,6918.0,8.104,0.638,1.93,,33.91,,,
2MASS J22430759+3122392,22 43 07.60,31 22 38.99,DC+M,,,,,,171.68,,,
2MASS J23053906+4334038,23 05 38.87,43 34 00.04,DC,4797.0,7.781,0.454,4.28,,46.90,,,
2MASS J23083372+2240529,23 08 33.72,22 40 52.68,DC+M,,,,,,1800.67,,,
2MASS J23243831-0931057,23 24 38.31,-09 31 06.82,DB+M,19340.0,8.28,,,,404.89,,,
2MASS J23445964+0027498,23 44 59.62,00 27 49.72,DC+M,6300.0,8.91,,,,565.96,,,
2QZ J000234.0-272003,00 02 34.05,-27 20 04.03,DB,,,,,,2621.23,,,
2QZ J000335.6-304928,00 03 35.64,-30 49 27.74,DB?,,,,,,377.17,,,
2QZ J000335.7-321306,00 03 35.78,-32 13 06.33,DB,,,,,,409.90,,,
2QZ J000608.9-310117,00 06 08.94,-31 01 16.72,DB,,,,,,487.35,,,
2QZ J001416.2-310258,00 14 16.37,-31 02 57.70,DB,17426.0,7.973,0.578,,,310.99,,,
2QZ J001532.2-302202,00 15 32.20,-30 22 01.58,DB,,,,,,2042.48,,,
2QZ J001609.3-310217,00 16 09.31,-31 02 17.18,DB,16224.0,8.091,0.646,,,353.83,,,
2QZ J001857.5-314241,00 18 57.52,-31 42 41.20,DZ,,,,,,1533.27,,,
2QZ J001937.8-291611,00 19 37.86,-29 16 11.53,DZ,,,,,,232.08,,,
2QZ J002405.4-291522,00 24 05.48,-29 15 21.75,DB,,,,,,1283.37,,,
2QZ J002645.8-320404,00 26 45.89,-32 04 03.41,DB,,,,,,1069.40,,,
2QZ J002740.4-294208,00 27 40.50,-29 42 08.72,DB,,,,,,666.58,,,
2QZ J002751.5-293506,00 27 51.57,-29 35 07.14,DC,9782.0,8.092,0.636,,,189.60,,,
2QZ J003203.5-305626,00 32 03.70,-30 56 26.57,DB,11896.0,8.118,0.656,,,186.59,,,
2QZ J003318.7-302203,00 33 18.78,-30 22 02.83,DB?,,,,,,1186.38,,,
2QZ J003532.9-310001,00 35 32.98,-31 00 00.30,DB,,,,,,5589.71,,,
2QZ J003722.7-303155,00 37 22.80,-30 31 55.49,DB,,,,,,504.16,,,
2QZ J003930.3-302507,00 39 30.39,-30 25 06.83,DB,,,,,,4140.79,,,
2QZ J004343.3-272715,00 43 43.35,-27 27 15.70,DB,,,,,,1073.08,,,
2QZ J004615.0-282028,00 46 15.13,-28 20 28.55,DB,18076.0,8.016,0.604,,,420.73,,,
2QZ J005157.4-285540,00 51 57.46,-28 55 41.32,DZ,,,,,,358.05,,,
2QZ J010209.0-314006,01 02 08.96,-31 40 06.42,DZ,,,,,,27624.31,,,
2QZ J010449.7-280220,01 04 49.77,-28 02 19.23,DB,,,,,,3586.80,,,
2QZ J010846.0-293944,01 08 45.88,-29 39 45.80,DZ,8383.0,8.129,0.657,,,145.58,,,
2QZ J011126.5-302059,01 11 26.55,-30 20 59.74,DB,,,,,,1417.84,,,
2QZ J011654.4-320749,01 16 54.44,-32 07 49.27,DB,,,,,,3660.32,,,
2QZ J011838.0-294215,01 18 38.02,-29 42 15.15,DB,,,,,,2280.50,,,
2QZ J012049.3-293627,01 20 49.37,-29 36 27.29,DB,,,,,,2049.18,,,
2QZ J012206.5-280205,01 22 06.58,-28 02 05.82,DB,,,,,,394.23,,,
2QZ J012619.2-305831,01 26 19.33,-30 58 30.09,DB,,,,,,424.81,,,
2QZ J013203.6-313612,01 32 03.59,-31 36 12.64,DB,11850.0,8.018,0.595,,,254.71,,,
2QZ J013238.1-281004,01 32 38.14,-28 10 03.96,DB,,,,,,842.67,,,
2QZ J013522.5-303828,01 35 22.62,-30 38 28.12,DB,,,,,,1138.82,,,
2QZ J013734.4-272202,01 37 34.48,-27 22 01.81,DB,,,,,,443.07,,,
2QZ J014209.7-320154,01 42 09.92,-32 01 53.27,DB,,,,,,465.29,,,
2QZ J015239.5-290323,01 52 39.59,-29 03 22.73,DB,,,,,,1426.13,,,
2QZ J015431.6-290204,01 54 31.71,-29 02 03.43,DB,,,,,,751.48,,,
2QZ J015450.6-283950,01 54 50.71,-28 39 51.02,DB,,,,,,332.66,,,
2QZ J015738.7-300306,01 57 38.78,-30 03 05.54,DB,13820.0,8.024,0.601,,,350.75,,,
2QZ J015955.3-272908,01 59 55.35,-27 29 08.05,DB,,,,,,1220.41,,,
2QZ J020011.7-295934,02 00 11.76,-29 59 34.06,DB,17722.0,7.928,0.554,,,209.00,,,
2QZ J020523.2-280953,02 05 23.33,-28 09 53.63,DB,15794.0,8.074,0.634,,,306.73,,,
2QZ J020619.2-280449,02 06 19.26,-28 04 49.56,DB,,,,,,2131.74,,,
2QZ J020710.4-290144,02 07 10.47,-29 01 44.47,DB,,,,,,415.32,,,
2QZ J020810.7-292333,02 08 10.69,-29 23 34.28,DB,,,,,,606.10,,,
2QZ J020944.7-284616,02 09 44.78,-28 46 15.83,DZ,,,,,,335.40,,,
2QZ J021009.8-281825,02 10 09.80,-28 18 25.34,DB?,,,,,,406.27,,,
2QZ J021151.4-304026,02 11 51.46,-30 40 26.54,DB,,,,,,1558.60,,,
2QZ J021237.0-293107,02 12 37.09,-29 31 06.57,DB,,,,,,493.02,,,
2QZ J021255.6-280320,02 12 55.62,-28 03 20.23,DB?,,,,,,313.28,,,
2QZ J021511.3-285622,02 15 11.34,-28 56 22.46,DB,,,,,,778.94,,,
2QZ J021730.2-295842,02 17 30.20,-29 58 41.69,DB,,,,,,576.07,,,
2QZ J021815.0-295404,02 18 15.05,-29 54 04.14,DB,,,,,,640.37,,,
2QZ J021934.9-302556,02 19 34.97,-30 25 56.38,DB,,,,,,641.48,,,
2QZ J022007.5-302517,02 20 07.54,-30 25 17.03,DB,14683.0,7.925,0.547,,,317.47,,,
2QZ J022118.8-272232,02 21 18.83,-27 22 32.16,DB,,,,,,1598.72,,,
2QZ J022151.0-321137,02 21 50.97,-32 11 38.51,DC,10434.0,7.857,0.501,,,250.40,,,
2QZ J022206.7-293230,02 22 06.74,-29 32 30.20,DB,,,,,,198.61,,,
2QZ J022323.9-273348,02 23 23.98,-27 33 48.08,DB,,,,,,7794.23,,,
2QZ J022819.8-281019,02 28 19.83,-28 10 19.07,DB?,,,,,,3720.24,,,
2QZ J023315.9-310058,02 33 15.98,-31 00 57.73,DB,,,,,,10928.96,,,
2QZ J023931.1-271815,02 39 31.13,-27 18 15.10,DB?,,,,,,2144.08,,,
2QZ J024219.6-320831,02 42 19.77,-32 08 30.37,DB,,,,,,599.05,,,
2QZ J024533.9-311525,02 45 34.02,-31 15 25.48,DB?,,,,,,453.70,,,
2QZ J025224.2-284500,02 52 24.32,-28 44 59.41,DB,,,,,,611.55,,,
2QZ J025403.3-304330,02 54 03.41,-30 43 28.94,DB,,,,,,485.65,,,
2QZ J025859.7-280444,02 58 59.85,-28 04 45.66,DB,16408.0,8.122,0.665,,,256.24,,,
2QZ J030044.7-284933,03 00 44.93,-28 49 32.08,DB,14494.0,7.715,0.44,,,335.94,,,
2QZ J030206.7-295818,03 02 06.94,-29 58 17.13,DB,11039.0,8.061,0.619,,,244.55,,,
2QZ J030211.9-313649,03 02 12.08,-31 36 48.87,DB,,,,,,333.07,,,
2QZ J031644.1-273210,03 16 44.12,-27 32 10.03,DB,,,,,,478.40,,,
2QZ J031720.6-311033,03 17 20.69,-31 10 32.50,DB,18629.0,8.265,0.758,,,348.21,,,
2QZ J095926.9+010327,09 59 27.00,01 03 27.83,DB,17121.0,8.24,0.739,,,306.29,,,
2QZ J100316.7+012214,10 03 16.75,01 22 15.35,DB,,,,,,472.19,,,
2QZ J100421.7-023757,10 04 21.73,-02 37 57.05,DZ,8443.0,7.783,0.457,,,186.03,,,
2QZ J100523.5-011429,10 05 23.61,-01 14 31.32,DQ,8376.0,7.8495,0.4917,0.814,,195.89,,,
2QZ J100857.0-011906,10 08 57.02,-01 19 06.31,DB,,,,,,654.88,,,
2QZ J101810.5+004408,10 18 10.55,00 44 09.83,DB,,,,,,509.09,,,
2QZ J101945.9-014008,10 19 45.96,-01 40 06.90,DB,,,,,,492.32,,,
2QZ J102618.5+013646,10 26 18.49,01 36 46.50,DB,18932.0,8.14,0.679,,,821.13,,,
2QZ J102807.8-013553,10 28 07.82,-01 35 53.09,DBZA,14644.0,8.69,1.024,0.287,,329.40,,,
2QZ J102942.7+002313,10 29 42.64,00 23 13.54,DB,,,,,,441.01,,,
2QZ J103024.3+002613,10 30 24.19,00 26 14.43,DZ,6747.0,8.0178,0.5845,1.74,,153.01,,,
2QZ J103257.4-024012,10 32 57.45,-02 40 11.47,DBZA,11010.0,8.6644,1.0087,1.53,,333.52,,,
2QZ J103536.4-011850,10 35 36.43,-01 18 49.24,DB,24367.0,8.0,0.605,0.05546,,512.43,,,
2QZ J103541.8-024422,10 35 41.89,-02 44 22.52,DB+M,16257.0,7.912000000000001,,,,348.65,,,
2QZ J103906.9-005442,10 39 06.94,-00 54 41.92,DB,,,,,,738.55,,,
2QZ J104219.9-015224,10 42 19.92,-01 52 22.85,DB,13523.0,8.04,0.608,0.4582,,263.75,,,
2QZ J104411.1-013014,10 44 11.14,-01 30 13.61,DB,,,,,,650.53,,,
2QZ J104919.1-011747,10 49 19.10,-01 17 46.94,DB,,,,,,1550.15,,,
2QZ J104923.7+000845,10 49 23.73,00 08 45.83,DC:,8105.0,8.302,0.786,1.752,,153.62,,,
2QZ J105314.1-002534,10 53 14.04,-00 25 33.97,DC,10259.0,8.016,0.611,0.5765,,341.94,,,
2QZ J105327.6+000042,10 53 27.66,00 00 42.94,DBAH,14614.0,7.83,0.498,,,1223.43,,,
2QZ J105400.1+005550,10 54 00.17,00 55 50.91,DB,,,,,,3004.81,,,
2QZ J105912.9+014251,10 59 12.90,01 42 51.62,DB,,,,,,4315.93,,,
2QZ J110006.3-015548,11 00 06.17,-01 55 47.75,DQ,7561.0,7.946,0.544,,,119.95,,,
2QZ J110644.2-003928,11 06 44.27,-00 39 27.45,DZ,11350.0,8.0604,0.6194,0.487,,242.52,,,
2QZ J110818.6-021219,11 08 18.67,-02 12 18.74,DB,,,,,,807.69,,,
2QZ J110907.9+000130,11 09 07.95,00 01 34.31,DB,,,,,,2530.36,,,
2QZ J111335.8+014533,11 13 35.92,01 45 34.28,DB,32052.0,8.0,0.62,,,654.01,,,
2QZ J111542.3-025801,11 15 42.41,-02 58 00.13,DZ,,,,,,10362.69,,,
2QZ J111612.3+003222,11 16 12.42,00 32 23.10,DB,,,,,,720.05,,,
2QZ J111613.5-013210,11 16 13.57,-01 32 09.56,DB,,,,,,322.37,,,
2QZ J112239.6+010525,11 22 40.83,01 07 24.31,DB,,,,,,425.46,,,
2QZ J112549.0-004009,11 25 49.11,-00 40 08.27,DB,,,,,,2626.74,,,
2QZ J112730.3-013801,11 27 30.50,-01 38 03.39,DZ,7575.0,8.06,0.612,1.44,,97.42,,,
2QZ J112920.5+011603,11 29 20.58,01 16 04.51,DB,16540.0,7.99,0.585,0.1327,,342.01,,,
2QZ J113314.2-025625,11 33 14.22,-02 56 25.43,DC,10452.0,7.947,0.571,0.5018,,283.33,,,
2QZ J113633.5-012345,11 36 33.57,-01 23 44.35,DB,,,,,,592.38,,,
2QZ J113728.3-002343,11 37 28.24,-00 23 42.77,DZ,10003.0,8.1842,0.6947,0.82,,228.76,,,
2QZ J114137.1-002730,11 41 37.14,-00 27 29.81,DC+M:,10903.0,6.9,,,,8997.69,,,
2QZ J114310.2-014529,11 43 10.25,-01 45 29.19,DZ,9583.0,7.9926,0.5752,0.689,,185.91,,,
2QZ J114518.6-021210,11 45 18.54,-02 12 09.98,DC,6841.0,8.414,0.858,3.663,,130.64,,,
2QZ J115041.9-014331,11 50 41.91,-01 43 30.78,DQ,,,,,,265.94,,,
2QZ J115620.8+013114,11 56 19.99,01 29 49.68,DB,,,,,,426.57,,,
2QZ J121055.9-002340,12 10 55.98,-00 23 39.71,DB,,,,,,481.90,,,
2QZ J121108.0-004924,12 11 08.46,-00 49 55.45,DB?,,,,,,879.20,,,
2QZ J121219.0-011537,12 12 19.04,-01 15 36.14,DB,14469.0,8.28,0.763,0.628,,358.18,,,
2QZ J121754.5-024325,12 17 54.63,-02 43 23.54,DB,17595.0,8.29,0.771,0.2154,,300.32,,,
2QZ J122356.8-013412,12 23 56.83,-01 34 11.51,DB,,,,,,228.81,,,
2QZ J122555.3-024547,12 25 55.36,-02 45 45.52,DZ,6934.0,8.156,0.6717,2.16,,225.15,,,
2QZ J122632.5-004401,12 26 32.56,-00 44 00.83,DB,14937.0,7.95,0.562,0.444,,532.51,,,
2QZ J123444.0-004616,12 34 44.03,-00 46 15.79,DB,,,,,,653.25,,,
2QZ J123820.4-004833,12 38 20.41,-00 48 32.40,DB,,,,,,3088.33,,,
2QZ J124638.9-003736,12 46 38.94,-00 37 34.81,DB,,,,,,1136.23,,,
2QZ J124847.8-001846,12 48 47.80,-00 18 46.05,DB,22383.0,8.09,0.652,0.04005,,642.34,,,
2QZ J125004.5+020517,12 50 04.63,02 05 18.31,DQ,7103.0,7.8589,0.4936,1.25,,171.95,,,
2QZ J125129.9+013717,12 51 29.88,01 37 18.32,DB,,,,,,934.58,,,
2QZ J125303.2+015910,12 53 03.11,01 59 13.13,DZ,6960.0,7.958,0.549,,,126.71,,,
2QZ J125343.8-001830,12 53 43.92,-00 18 30.22,DB,,,,,,739.86,,,
2QZ J125351.0+001612,12 53 51.16,00 16 12.41,DB,,,,,,539.05,,,
2QZ J125435.5+005359,12 54 35.56,00 53 59.39,DZ,,,,,,33333.33,,,
2QZ J125435.7-011822,12 54 35.82,-01 18 22.30,DC:,6913.0,8.213,0.725,2.338,,113.57,,,
2QZ J125551.0+010247,12 55 51.11,01 02 48.05,DZ,,,,,,984.93,,,
2QZ J130950.3-010206,13 09 50.32,-01 02 06.00,DB?,,,,,,471.63,,,
2QZ J131256.4+000041,13 12 56.42,00 00 41.49,DB,,,,,,1578.78,,,
2QZ J131731.0+014314,13 17 30.96,01 43 14.60,DB,15237.0,7.74,0.453,0.2436,,751.81,,,
2QZ J132326.9-004157,13 23 26.88,-00 41 59.70,DC,9197.0,7.98,0.587,0.7291,,265.78,,,
2QZ J132712.6-003418,13 27 12.64,-00 34 18.66,DB,,,,,,1557.15,,,
2QZ J132835.2-013939,13 28 35.22,-01 39 40.72,DC:,10743.0,8.401,0.839,,,202.59,,,
2QZ J132849.0-002427,13 28 49.02,-00 24 29.70,DC,7895.0,7.964,0.555,,,178.15,,,
2QZ J132939.0-010516,13 29 39.02,-01 05 16.63,DB,,,,,,2998.50,,,
2QZ J133501.2-020512,13 35 01.28,-02 05 11.85,DB,,,,,,442.89,,,
2QZ J133534.1+012507,13 35 34.16,01 25 08.02,DB,,,,,,599.45,,,
2QZ J134010.3-025425,13 40 10.43,-02 54 25.02,DZ?,,,,,,9090.91,,,
2QZ J134805.6-013706,13 48 05.70,-01 37 06.50,DB,,,,,,382.94,,,
2QZ J135001.1+005725,13 50 01.13,00 57 25.83,DB,,,,,,617.51,,,
2QZ J135507.2-015514,13 55 07.24,-01 55 14.02,DC_VERYHOT,22288.0,6.437,0.169,,,,,,
2QZ J135652.7-020808,13 56 52.82,-02 08 08.73,DB,,,,,,245.84,,,
2QZ J135737.2-015417,13 57 37.26,-01 54 17.18,DB,,,,,,2321.80,,,
2QZ J135849.2-001249,13 58 49.30,-00 12 48.28,DB,,,,,,360.58,,,
2QZ J140051.6-015413,14 00 51.47,-01 54 15.85,DQ,9394.0,8.6921,1.0245,2.31,,142.31,,,
2QZ J140249.0-012430,14 02 49.11,-01 24 29.79,DB,,,,,,1633.99,,,
2QZ J140615.9-003715,14 06 15.99,-00 37 14.94,DZ,7522.0,8.1035,0.6391,1.5,,277.99,,,
2QZ J140827.9-011533,14 08 27.90,-01 15 34.11,DB:+M,11892.0,8.392,0.834,0.7085,,314.70,,,
2QZ J141246.4-015617,14 12 46.44,-01 56 17.19,DB,,,,,,158.62,,,
2QZ J141431.6+001743,14 14 31.62,00 17 43.90,DZ,,,,,,4312.20,,,
2QZ J142101.4-021221,14 21 01.50,-02 12 21.17,DC:,10440.0,8.106,0.665,0.6248,,226.96,,,
2QZ J143153.4-022617,14 31 53.43,-02 26 17.05,DB,,,,,,4651.16,,,
2QZ J143239.6-020317,14 32 39.60,-02 03 15.45,DB,13289.0,7.96,0.565,0.3668,,300.56,,,
2QZ J143248.0-015557,14 32 48.03,-01 55 57.32,DZ,,,,,,320.62,,,
2QZ J143710.5-015754,14 37 10.55,-01 57 54.15,DB,,,,,,221.39,,,
2QZ J143744.7-020245,14 37 44.72,-02 02 44.04,DB,,,,,,335.28,,,
2QZ J143814.6-013914,14 38 14.64,-01 39 14.18,DB?,,,,,,519.94,,,
2QZ J143825.1-020856,14 38 25.20,-02 08 55.71,DB,,,,,,1461.77,,,
2QZ J144013.0-003015,14 40 13.04,-00 30 14.91,DB,,,,,,374.50,,,
2QZ J144156.3-000319,14 41 56.43,-00 03 18.97,DB,,,,,,7961.78,,,
2QZ J144559.9-022426,14 45 59.97,-02 24 26.09,DB?,,,,,,9596.93,,,
2QZ J214454.5-303240,21 44 54.58,-30 32 39.78,DB,,,,,,541.98,,,
2QZ J214457.1-310409,21 44 57.21,-31 04 11.55,DB,16280.0,7.9,0.536,,,273.11,,,
2QZ J214745.8-295226,21 47 45.90,-29 52 25.43,DB,,,,,,166.99,,,
2QZ J214816.5-282428,21 48 16.53,-28 24 28.69,DB,14326.0,8.018,0.599,,,159.03,,,
2QZ J215119.5-301500,21 51 19.56,-30 14 59.43,DB,,,,,,588.10,,,
2QZ J215241.8-312520,21 52 41.81,-31 25 19.54,DB,,,,,,318.40,,,
2QZ J215311.5-303345,21 53 11.48,-30 33 45.22,DB,,,,,,850.63,,,
2QZ J215334.5-290625,21 53 34.59,-29 06 24.38,DB,,,,,,2401.54,,,
